OBJECTID,Id,grid_code,YEAR,Shapearea,Shapelen
259,1222,55705893,2040,333.133791795,113.394350583868
260,1228,55705893,2040,20.82202408,18.3254090814525
261,1232,55705893,2040,20.82093126,18.3249395667404
262,1237,55705893,2040,895.305229205,281.764915866579
263,1243,55705893,2040,20.822264955,18.3255232340639
264,1249,55705893,2040,20.82201157,18.3254034533833
265,1255,55705893,2040,41.642946645,26.671058382374
266,1258,55705893,2040,62.464900915,35.0171536039396
267,1263,55705893,2040,104.111735005,53.3434911582536
268,1276,55705893,2040,41.64551532,26.6719679214062
269,1292,55705893,2040,20.82268092,18.3256589011785
270,1297,55705893,2040,62.46713217,36.6510186614013
271,1298,55705893,2040,20.82331674,18.3259289128644
272,1302,55705893,2040,20.82355553,18.3260241593048
273,1305,55705893,2040,20.823256225,18.3259024969115
274,1316,55705893,2040,20.82348277,18.3259922296255
275,1318,55705893,2040,41.64696554,28.3054237184429
276,1321,55705893,2040,83.293822485,46.6314551917822
277,1322,55705893,2040,62.470084605,35.0191174333316
278,1323,55705893,2040,1832.476140875,316.623766841925
279,1333,55705893,2040,41.646052945,26.6722942732926
280,1349,55705893,2040,83.29506441,36.6522143448801
281,1377,55705893,2040,20.8240458,18.3262203610655
282,1393,55705893,2040,4081.456921735,608.026616371588
283,1395,55705893,2040,874.608228655,171.649966526615
284,1397,55705893,2040,208.23800174,93.2632956950229
285,1399,55705893,2040,20.823713315,18.3260838794972
286,1406,55705893,2040,20.82375837,18.3260857305173
287,1407,55705893,2040,20.82396472,18.3261848001225
288,1426,55705893,2040,124.9441036,68.2234057222574
289,1431,55705893,2040,20.824267395,18.3263081028163
290,1445,55705893,2040,20.824009775,18.3261866531468
291,1446,55705893,2040,20.82422075,18.326287574946
292,1447,55705893,2040,41.64849655,26.673164128863
293,1448,55705893,2040,20.82422075,18.326287574946
294,1451,55705893,2040,20.82422075,18.326287574946
295,1453,55705893,2040,62.472902855,36.6524723752962
296,1459,55705893,2040,83.29792732,43.3672762428592
297,1461,55705893,2040,41.6487612,28.3057264971938
298,1465,55705893,2040,62.473279925,36.6527974694683
299,1490,55705893,2040,354.0265464,116.674843145829
300,1492,55705893,2040,20.825231035,18.3266931302886
301,1542,55705893,2040,520.71689912,154.972985394995
302,1543,55705893,2040,41.65735812,28.3073666638215
303,1546,55705893,2040,20.828676795,18.3280544797605
304,1547,55705893,2040,20.82847035,18.3279553906051
305,1548,55705893,2040,20.828676795,18.3280544797605
306,1549,55705893,2040,20.82888777,18.3281553823625
307,1550,55705893,2040,20.82830148,18.327881051642
308,1551,55705893,2040,20.82937841,18.3283517469817
309,1552,55705893,2040,20.82896098,18.328151755188
310,1555,55705893,2040,20.829200275,18.3282472298573
311,1556,55705893,2040,20.82940674,18.328346323883
312,1559,55705893,2040,41.659497115,28.3078440574462
313,1561,55705893,2040,20.83011666,18.3286472135496
314,1562,55705893,2040,20.82944786,18.3283463229019
315,1563,55705893,2040,41.659983845,26.6777876842806
316,1565,55705893,2040,20.82965433,18.3284454169457
317,1566,55705893,2040,20.82990192,18.3285445120161
318,1567,55705893,2040,20.8299423,18.3285445110108
319,1569,55705893,2040,20.830124835,18.3286328362951
320,1570,55705893,2040,20.83012857,18.3286346259999
321,1571,55705893,2040,20.830376175,18.3287337271435
322,1578,55705893,2040,20.830384385,18.3287373105938
323,1583,55705893,2040,20.83063573,18.3288382034246
324,1602,55705893,2040,41.66227383,28.3083413410663
325,1607,55705893,2040,20.831382275,18.3291372944961
326,1609,55705893,2040,41.662761945,28.3084386456277
327,1617,55705893,2040,20.8314189,18.3291355006181
328,1618,55705893,2040,20.831629875,18.3292363936181
329,1619,55705893,2040,166.65453251,73.3173455580883
330,1622,55705893,2040,124.99073538,53.3585356987612
331,1624,55705893,2040,20.832083985,18.3294345937366
332,1625,55705893,2040,41.6634209,26.679189704486
333,1638,55705893,2040,20.83219579,18.329474113589
334,1639,55705893,2040,41.66482306,26.6797393909203
335,1640,55705893,2040,41.664403365,26.6796385127963
336,1644,55705893,2040,249.98679627,99.9976387976364
337,1666,55705893,2040,20.832507505,18.3295835774567
338,1670,55705893,2040,62.496913215,36.6590958070639
339,1673,55705893,2040,20.83255902,18.3296062162271
340,1685,55705893,2040,20.8323284,18.3294965964699
341,1688,55705893,2040,20.8323364,18.3295000881455
342,1689,55705893,2040,20.832534975,18.3295957220439
343,1690,55705893,2040,41.66532959,26.6800156837558
