OBJECTID,BEGIN_MP,END_MP,ROW_OWNER,FREIGHT_OP,SUBDIVISIO,SHRTLN_NAM,SHRTLN_COD,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,RECR_OP,RECR_NETWO,STATUS,RR_CLSS,TRK_CLSS,PASS_SPEED,FRT_SPEED,FRT_DNS,NUM_TRACK,STRACNET,CR63,SHAPE_LENG,SHAPE_Length
401,88.8,88.9,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,2,20,20,3,2,S,"2MT,CTC",121.8096013,155.852308553164
402,88.9,90.2,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight,San Joaquin", , , , ,1,I,2,20,20,3,2,S,"2MT,CTC",2048.07362833,2621.02933504223
403,90.2,90.6,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,San Joaquin", , , , ,1,I,3,35,35,6,2,S,"2MT,CTC",584.08724768,747.365511664839
404,90.6,91.7,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,San Joaquin", , , , ,1,I,3,35,35,6,3,S,"3MT,CTC",1735.06359776,2219.99041931714
405,91.7,92,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor", , , , ,1,I,3,30,25,6,2,S,"2MT,CTC",550.18843876,704.61580099919
406,92,93.4,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor", , , , ,1,I,3,30,25,6,2,S,"2MT,CTC",2072.40663548,2654.84466663599
407,105.3,106.4,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor", , , , ,1,I,3,40,40,6,2,S,"2MT,CTC",1148.88981119,1473.99511581556
408,104.5,104.7,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor", , , , ,1,I,3,40,40,6,2,S,"2MT,CTC",597.21101494,766.334901264873
409,104.7,105.3,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor", , , , ,1,I,3,40,40,6,2,S,"2MT,CTC",1207.55243191,1549.40019990093
410,102.5,104.5,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor", , , , ,1,I,4,79,70,6,2,S,"2MT,CTC",2988.73142187,3834.48378097942
411,101.3,102.5,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor", , , , ,1,I,4,79,70,6,2,S,"2MT,CTC",2393.97001069,3070.10972545474
412,38,38.2,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",325.19594809,413.74493843632
413,59.4,65.5,UP,"UP,BNSF,CFNR",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",10288.6031947,13138.980729018
414,75,75.4,UP,"UP,BNSF,CFNR",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,70,3,2,S,"2MT,CTC",602.02553339,770.455496249725
415,75.4,75.6,UP,"UP,BNSF",Martinez, , ,Amtrak,"California Zephyr,Capitol Corridor,Coast Starlight", , , , ,1,I,3,55,30,3,2,S,"2MT,CTC",381.07947017,487.45887360055
416,10.4,11.8,UP,"UP,BNSF",Niles, , ,Amtrak,"Capitol Corridor,Coast Starlight", , , , ,1,I,4,79,60,1,2,S,"2MT,CTC",1966.81753241,2490.0167467226
