OBJECTID,BEGIN_MP,END_MP,ROW_OWNER,FREIGHT_OP,SUBDIVISIO,SHRTLN_NAM,SHRTLN_COD,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,RECR_OP,RECR_NETWO,STATUS,RR_CLSS,TRK_CLSS,PASS_SPEED,FRT_SPEED,FRT_DNS,NUM_TRACK,STRACNET,CR63,SHAPE_LENG,SHAPE_Length
314,260.5,263.2,SDNR,BNSF,San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,NCTD,Coaster, , ,1,LOC,4,75,55,0,2,S,"2MT,CTC",4099.1339076,4897.52078878591
315,263.2,264.1,SDNR,BNSF,San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,NCTD,Coaster, , ,1,LOC,4,75,55,0,1,S,CTC,1437.31639861,1716.91060087812
316,264.2,265.5,SDNR,BNSF,San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,NCTD,Coaster, , ,1,LOC,4,65,40,0,2,S,"2MT,CTC",2096.36707241,2496.08441082415
317,267.2,267.5,SDNR,BNSF,San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,NCTD,Coaster, , ,1,LOC,1,15,10,0,4,S,"4MT,RL",326.57668841,390.192793877759
318,267.5,267.7,SDNR,BNSF,San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner, , , , ,1,LOC,1,20,10,0,4,S,"4MT,RL",190.09461423,227.118476048331
319,243.9,244,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,NCTD,Coaster, , ,1,LOC,4,65,55,0,1,S,CTC,176.3715393,211.090489712833
320,264.1,264.2,SDNR,BNSF,San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,NCTD,Coaster, , ,1,LOC,4,65,40,0,2,S,"2MT,CTC",317.68746654,379.454944473589
321,226.4,226.8,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,NCTD,Coaster, , ,1,LOC,4,90,55,0,2,S,"2MT,CTC",652.02038402,781.032824475538
322,248.8,249,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,NCTD,Coaster, , ,1,LOC,4,90,55,0,1,S,CTC,235.43294865,281.030525939264
323,207.4,209.2,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", , ,1,LOC,4,75,55,0,1,S,CTC,2972.42392462,3557.71157664882
324,209.2,212.3,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", , ,1,LOC,4,90,55,0,2,S,"2MT,CTC",4885.99831258,5853.22633628224
325,212.3,218.1,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", , ,1,LOC,4,90,55,0,1,S,CTC,9240.04637789,11073.9976205369
326,265.5,267.2,SDNR,BNSF,San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,NCTD,Coaster, , ,1,LOC,1,20,10,0,2,S,"2MT,CTC",2812.21497367,3353.18191913954
327,218.1,221.9,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", , ,1,LOC,4,90,55,0,2,S,"2MT,CTC",6016.95716494,7212.63217786432
328,221.9,222.6,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", , ,1,LOC,4,90,55,0,2,S,"2MT,CTC",1243.87283273,1490.84148011953
329,222.6,222.8,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", , ,1,LOC,4,90,55,0,2,S,"2MT,CTC",411.40259629,492.64186496638
330,222.8,223.6,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", , ,1,LOC,4,90,55,0,1,S,CTC,1210.12064949,1449.00790049723
331,223.6,225.3,SDNR,"BNSF,PSRR",San Diego,San Diego Northern,SDNR,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", , ,1,LOC,4,90,55,0,2,S,"2MT,CTC",2714.21532439,3256.08842917077
332,0,0.8,SMV,"UP,SMV",Main Line, , ,Amtrak,"Coast Starlight,Pacific Surfliner", , , , ,1,I,3,50,40,1,1,C,"TWC,ABS",700.19640419,856.610185091571
333,170.6,172.4,SCRRA,"BNSF,UP",Orange, , ,Amtrak,Pacific Surfliner,Metrolink,"Inland Empire-Orange County Line,Orange County Line", , ,1,N/A,4,79,50,1,2,S,"2MT,CTC",522.24288749,630.807632770378
334,31,33,UP,UP,Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight",SJRRC,ACE, , ,1,I,3,35,35,1,2,S,"2MT,CTC",3216.0978601,4057.61140601909
335,33,33.9,UP,UP,Coast, , ,Amtrak,"Capitol Corridor,Coast Starlight",SJRRC,ACE, , ,1,I,4,70,60,1,1,S,CTC,1613.25047676,2035.4969225497
